Sentence,Tokens,Labels
"The summit of Mount Carstensz in Papua, Indonesia is considered one of the highest peaks outside Asia and part of the island's rugged Carstensz Range.","<s> The Ġsummit Ġof ĠMount ĠCar st ens z Ġin ĠPapua , ĠIndonesia Ġis Ġconsidered Ġone Ġof Ġthe Ġhighest Ġpeaks Ġoutside ĠAsia Ġand Ġpart Ġof Ġthe Ġisland 's Ġrugged ĠCar st ens z ĠRange . </s>",<s> O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Chimborazo, located in Ecuador's Andean highlands, is the highest active volcano on Earth.","<s> Ch im bor azo , Ġlocated Ġin ĠEcuador 's ĠAnd ean Ġhigh lands , Ġis Ġthe Ġhighest Ġactive Ġvolcano Ġon ĠEarth . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
Cho Oyu is one of the tallest mountains in the Himalayas and the sixth-highest peak in the world.,<s> Cho ĠO yu Ġis Ġone Ġof Ġthe Ġtallest Ġmountains Ġin Ġthe ĠHimal ay as Ġand Ġthe Ġsixth - highest Ġpeak Ġin Ġthe Ġworld . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O </s>
The 2020 Chulu West expedition was cancelled due to severe weather conditions.,<s> The Ġ2020 ĠCh ulu ĠWest Ġexpedition Ġwas Ġcancelled Ġdue Ġto Ġsevere Ġweather Ġconditions . </s>,<s> O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O </s>
"Citlaltepetl, the legendary Aztec mountain deity and supposed site of their capital city, Tenochtitlán, is considered to be a mythical location by many scholars today.","<s> C it l alt ep et l , Ġthe Ġlegendary ĠAz tec Ġmountain Ġdeity Ġand Ġsupposed Ġsite Ġof Ġtheir Ġcapital Ġcity , ĠTen och t it l Ã¡n , Ġis Ġconsidered Ġto Ġbe Ġa Ġmythical Ġlocation Ġby Ġmany Ġscholars Ġtoday . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"The majestic peak of Mount Denali rises high above the Alaskan tundra, its snow-capped summit shrouded in mist and legend.","<s> The Ġmajestic Ġpeak Ġof ĠMount ĠDen ali Ġrises Ġhigh Ġabove Ġthe ĠAl ask an Ġt und ra , Ġits Ġsnow - c apped Ġsummit Ġshrouded Ġin Ġmist Ġand Ġlegend . </s>",<s> O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
"The 8th highest mountain in the world is Dhaulagiri, a rugged and isolated peak located in the Himalayas of Nepal.","<s> The Ġ8 th Ġhighest Ġmountain Ġin Ġthe Ġworld Ġis ĠD haul ag iri , Ġa Ġrugged Ġand Ġisolated Ġpeak Ġlocated Ġin Ġthe ĠHimal ay as Ġof ĠNepal . </s>",<s> O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
The hikers took a disappointing view of the peak from the summit of Disappointment Mountain.,<s> The Ġhikers Ġtook Ġa Ġdisappointing Ġview Ġof Ġthe Ġpeak Ġfrom Ġthe Ġsummit Ġof ĠDisapp ointment ĠMountain . </s>,<s> O O O O O O O O O O O O O O O O O </s>
"Mount Elbrus is the highest peak in Europe, standing at an elevation of 18,510 feet.","<s> Mount ĠEl br us Ġis Ġthe Ġhighest Ġpeak Ġin ĠEurope , Ġstanding Ġat Ġan Ġelevation Ġof Ġ18 , 510 Ġfeet . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O </s>
"Mount Erebus, located on Ross Island in Antarctica, is one of the most active volcanoes on Earth.","<s> Mount ĠE re bus , Ġlocated Ġon ĠRoss ĠIsland Ġin ĠAntarctica , Ġis Ġone Ġof Ġthe Ġmost Ġactive Ġvolcan oes Ġon ĠEarth . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
Volcanic eruptions from Mount Etna have been observed and recorded by scientists since ancient times.,<s> Vol can ic Ġeru ptions Ġfrom ĠMount ĠEt na Ġhave Ġbeen Ġobserved Ġand Ġrecorded Ġby Ġscientists Ġsince Ġancient Ġtimes . </s>,<s> O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O </s>
The Himalayan mountain of Mount Everest is the world's highest peak.,<s> The ĠHimal ayan Ġmountain Ġof ĠMount ĠEverest Ġis Ġthe Ġworld 's Ġhighest Ġpeak . </s>,<s> O O O O O B-LOCATION I-LOCATION O O O O O O O </s>
Gasherbrum II is one of the highest peaks in the Karakoram range.,<s> G asher br um ĠII Ġis Ġone Ġof Ġthe Ġhighest Ġpeaks Ġin Ġthe ĠKar ak or am Ġrange . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
"Island Peak is a prominent 7,000-meter peak on the Nepal-India border in the Mahalangur Himal sub-range of the Himalayas.","<s> Is land ĠPeak Ġis Ġa Ġprominent Ġ7 , 000 - meter Ġpeak Ġon Ġthe ĠNepal - India Ġborder Ġin Ġthe ĠMah al ang ur ĠHimal Ġsub - range Ġof Ġthe ĠHimal ay as . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
The Habicht mountain in South Africa is the highest peak of the Drakensberg Mountains.,<s> The ĠHab icht Ġmountain Ġin ĠSouth ĠAfrica Ġis Ġthe Ġhighest Ġpeak Ġof Ġthe ĠDra kens berg ĠMountains . </s>,<s> O O O O O O O O O O O O O O O O O O </s>
"The iconic Mount Jefferson, located in Oregon, rises over 10,000 feet above sea level.","<s> The Ġiconic ĠMount ĠJefferson , Ġlocated Ġin ĠOregon , Ġrises Ġover Ġ10 , 000 Ġfeet Ġabove Ġsea Ġlevel . </s>",<s> O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
"Kangchenjunga, the world's third-highest mountain, is located on the border between Nepal and India.","<s> K ang chen j ung a , Ġthe Ġworld 's Ġthird - highest Ġmountain , Ġis Ġlocated Ġon Ġthe Ġborder Ġbetween ĠNepal Ġand ĠIndia . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
The Kanjiroba mountain in Ethiopia is known for its unique shape and stunning natural beauty.,<s> The ĠKan j iro ba Ġmountain Ġin ĠEthiopia Ġis Ġknown Ġfor Ġits Ġunique Ġshape Ġand Ġstunning Ġnatural Ġbeauty . </s>,<s> O O O O O O O O O O O O O O O O O O O </s>
The brown bears of Alaska's Katmai National Park are known for their distinctive grizzly coats and impressive size.,<s> The Ġbrown Ġbears Ġof ĠAlaska 's ĠKat m ai ĠNational ĠPark Ġare Ġknown Ġfor Ġtheir Ġdistinctive Ġgrizz ly Ġcoats Ġand Ġimpressive Ġsize . </s>,<s> O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
The Khumbutse Mountain is one of the highest peaks in the Everest massif of the Himalayas.,<s> The ĠKh umb ut se ĠMountain Ġis Ġone Ġof Ġthe Ġhighest Ġpeaks Ġin Ġthe ĠEverest Ġmass if Ġof Ġthe ĠHimal ay as . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
Kilimanjaro is Africa's highest peak and a popular destination for hikers and climbers.,<s> K il iman jar o Ġis ĠAfrica 's Ġhighest Ġpeak Ġand Ġa Ġpopular Ġdestination Ġfor Ġhikers Ġand Ġclimbers . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
The peak of Mount Kosciuszko in Australia is the highest point on both the Australian mainland and the South Island of New Zealand.,<s> The Ġpeak Ġof ĠMount ĠKos cius z ko Ġin ĠAustralia Ġis Ġthe Ġhighest Ġpoint Ġon Ġboth Ġthe ĠAustralian Ġmainland Ġand Ġthe ĠSouth ĠIsland Ġof ĠNew ĠZealand . </s>,<s> O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
Climbers must carefully acclimatize to high altitudes when attempting to conquer the majestic mountain of Lhotse in Nepal's Himalayas.,<s> C lim bers Ġmust Ġcarefully Ġacc lim at ize Ġto Ġhigh Ġalt itudes Ġwhen Ġattempting Ġto Ġconquer Ġthe Ġmajestic Ġmountain Ġof ĠL hot se Ġin ĠNepal 's ĠHimal ay as . </s>,<s> O O O O O O O O O O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O </s>
The Appalachian Trail crosses over the mountain Logan in West Virginia.,<s> The ĠAppalachian ĠTrail Ġcrosses Ġover Ġthe Ġmountain ĠLogan Ġin ĠWest ĠVirginia . </s>,<s> O O O O O O O O O O O O </s>
The snow-capped peak of Machapuchare stands out dramatically against the backdrop of Annapurna in Nepal's Himalayas.,<s> The Ġsnow - c apped Ġpeak Ġof ĠMach ap uch are Ġstands Ġout Ġdramatically Ġagainst Ġthe Ġbackdrop Ġof ĠAnn ap urn a Ġin ĠNepal 's ĠHimal ay as . </s>,<s> O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O </s>
"Makalu, the fifth highest mountain in the world, towers above its neighboring peaks in the Khumbu region of Nepal.","<s> M ak al u , Ġthe Ġfifth Ġhighest Ġmountain Ġin Ġthe Ġworld , Ġtowers Ġabove Ġits Ġneighboring Ġpeaks Ġin Ġthe ĠKh umb u Ġregion Ġof ĠNepal . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
"Manaslu, located in the Himalayas on Nepal's border with Tibet, is the eighth highest mountain peak in the world.","<s> Man as lu , Ġlocated Ġin Ġthe ĠHimal ay as Ġon ĠNepal 's Ġborder Ġwith ĠTibet , Ġis Ġthe Ġeighth Ġhighest Ġmountain Ġpeak Ġin Ġthe Ġworld . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O </s>
The Matterhorn loomed majestically in the distance.,<s> The ĠMatter horn Ġlo omed Ġmaj est ically Ġin Ġthe Ġdistance . </s>,<s> O O O O O O O O O O O O </s>
"Mount McKinley, also known as Denali, is the highest peak in North America located in Alaska's interior.","<s> Mount ĠMcKin ley , Ġalso Ġknown Ġas ĠDen ali , Ġis Ġthe Ġhighest Ġpeak Ġin ĠNorth ĠAmerica Ġlocated Ġin ĠAlaska 's Ġinterior . </s>",<s> B-LOCATION I-LOCATION I-LOCATION O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
The peak of Mercedario Mountain in Argentina is known for its stunning glaciers and picturesque scenery.,<s> The Ġpeak Ġof ĠMer ced ario ĠMountain Ġin ĠArgentina Ġis Ġknown Ġfor Ġits Ġstunning Ġglaciers Ġand Ġpictures que Ġscenery . </s>,<s> O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
Mont Blanc is the highest peak in the French Alps and the highest summit of the European mainland.,<s> Mont ĠBlanc Ġis Ġthe Ġhighest Ġpeak Ġin Ġthe ĠFrench ĠAlps Ġand Ġthe Ġhighest Ġsummit Ġof Ġthe ĠEuropean Ġmainland . </s>,<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O </s>
The majestic peak of Monte Rosa rises high above the Italian border in the Pennine Alps.,<s> The Ġmajestic Ġpeak Ġof ĠMonte ĠRosa Ġrises Ġhigh Ġabove Ġthe ĠItalian Ġborder Ġin Ġthe ĠPenn ine ĠAlps . </s>,<s> O O O O O O O O O O O O O O O O O O </s>
"Nanga Parbat is one of the world's highest peaks, standing at an elevation of 26,660 feet in the Himalayas on Pakistan's border with India and China.","<s> N anga ĠPar bat Ġis Ġone Ġof Ġthe Ġworld 's Ġhighest Ġpeaks , Ġstanding Ġat Ġan Ġelevation Ġof Ġ26 , 660 Ġfeet Ġin Ġthe ĠHimal ay as Ġon ĠPakistan 's Ġborder Ġwith ĠIndia Ġand ĠChina . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"In Greek mythology, Mount Olympus was considered the home of the gods.","<s> In ĠGreek Ġmythology , ĠMount ĠOlympus Ġwas Ġconsidered Ġthe Ġhome Ġof Ġthe Ġgods . </s>",<s> O O O O B-LOCATION I-LOCATION O O O O O O O O </s>
Orizaba is Mexico's highest peak and also an active volcano located in the Trans-Mexican Volcanic Belt.,<s> O riz aba Ġis ĠMexico 's Ġhighest Ġpeak Ġand Ġalso Ġan Ġactive Ġvolcano Ġlocated Ġin Ġthe ĠTrans - Mex ican ĠVol can ic ĠBelt . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O </s>
"The snow-capped peak of Pico, the highest point in Costa Rica, rises dramatically above the surrounding landscape.","<s> The Ġsnow - c apped Ġpeak Ġof ĠP ico , Ġthe Ġhighest Ġpoint Ġin ĠCosta ĠRica , Ġrises Ġdramatically Ġabove Ġthe Ġsurrounding Ġlandscape . </s>",<s> O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
Pisang Peak is a mountain located in Nepal's Langtang National Park.,<s> P is ang ĠPeak Ġis Ġa Ġmountain Ġlocated Ġin ĠNepal 's ĠLang t ang ĠNational ĠPark . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
"Mount Pumori, one of Mount Everest's five main summits, was the final challenge to be conquered in the 1960 expedition led by Tenzing Norgay and Sir Edmund Hillary.","<s> Mount ĠP um ori , Ġone Ġof ĠMount ĠEverest 's Ġfive Ġmain Ġsum mits , Ġwas Ġthe Ġfinal Ġchallenge Ġto Ġbe Ġconquered Ġin Ġthe Ġ1960 Ġexpedition Ġled Ġby ĠTen zing ĠN org ay Ġand ĠSir ĠEdmund ĠHillary . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
Mount Rainier rises majestically in the heart of Washington State's Cascade Range.,<s> Mount ĠRain ier Ġrises Ġmaj est ically Ġin Ġthe Ġheart Ġof ĠWashington ĠState 's ĠCascade ĠRange . </s>,<s> O B-LOCATION I-LOCATION O O O O O O O O O O O O O O </s>
The United States Geological Survey (USGS) operates the Mount Redoubt Volcano Observatory near the base of Mount Redoubt in southwestern Alaska.,<s> The ĠUnited ĠStates ĠGeological ĠSurvey Ġ( US GS ) Ġoperates Ġthe ĠMount ĠRed oubt ĠVolcano ĠObservatory Ġnear Ġthe Ġbase Ġof ĠMount ĠRed oubt Ġin Ġsouthwestern ĠAlaska . </s>,<s> O O O O O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
Mount Rushmore is an iconic sculpture carved into the side of a granite mountain in the Black Hills region of South Dakota.,<s> Mount ĠRush more Ġis Ġan Ġiconic Ġsculpture Ġcarved Ġinto Ġthe Ġside Ġof Ġa Ġgranite Ġmountain Ġin Ġthe ĠBlack ĠHills Ġregion Ġof ĠSouth ĠDakota . </s>,<s> O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O </s>
"The Silberhorn is a distinctive peak in the Ötztal Alps, known for its glacially polished granite face and challenging climbing routes.","<s> The ĠSil ber horn Ġis Ġa Ġdistinctive Ġpeak Ġin Ġthe ĠÃĸ tz tal ĠAlps , Ġknown Ġfor Ġits Ġglac ially Ġpolished Ġgranite Ġface Ġand Ġchallenging Ġclimbing Ġroutes . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O </s>
The snow-capped peak of Mount Shasta rises majestically above the forest floor in Northern California's Cascade Range.,<s> The Ġsnow - c apped Ġpeak Ġof ĠMount ĠSh asta Ġrises Ġmaj est ically Ġabove Ġthe Ġforest Ġfloor Ġin ĠNorthern ĠCalifornia 's ĠCascade ĠRange . </s>,<s> O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O </s>
The Shishapangma mountain in Tibet is considered one of the most challenging mountains to climb due to its extreme altitude and harsh weather conditions.,<s> The ĠSh ish ap ang ma Ġmountain Ġin ĠTibet Ġis Ġconsidered Ġone Ġof Ġthe Ġmost Ġchallenging Ġmountains Ġto Ġclimb Ġdue Ġto Ġits Ġextreme Ġaltitude Ġand Ġharsh Ġweather Ġconditions . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
The mountain Tahoma rises dramatically above the Olympic National Park landscape.,<s> The Ġmountain ĠTah oma Ġrises Ġdramatically Ġabove Ġthe ĠOlympic ĠNational ĠPark Ġlandscape . </s>,<s> O O O O O O O O O O O O O </s>
"The Valvelspitze, located in the Pennine Alps of Italy, is one of the most difficult and remote peaks to climb in the Dolomites.","<s> The ĠVal vel sp it ze , Ġlocated Ġin Ġthe ĠPenn ine ĠAlps Ġof ĠItaly , Ġis Ġone Ġof Ġthe Ġmost Ġdifficult Ġand Ġremote Ġpeaks Ġto Ġclimb Ġin Ġthe ĠDol om ites . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
The ancient city of Pompeii was buried under a thick layer of volcanic ash and pumice when Mount Vesuvius erupted in 79 AD.,<s> The Ġancient Ġcity Ġof ĠPompe ii Ġwas Ġburied Ġunder Ġa Ġthick Ġlayer Ġof Ġvolcanic Ġash Ġand Ġp um ice Ġwhen ĠMount ĠVes uv ius Ġerupted Ġin Ġ79 ĠAD . </s>,<s> O O O O O O O O O O O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O </s>
Vinson Massif is the highest peak in Antarctica.,<s> V inson ĠMass if Ġis Ġthe Ġhighest Ġpeak Ġin ĠAntarctica . </s>,<s> B-LOCATION I-LOCATION O O O O O O O O O </s>
"Whitney, California's highest peak, stands at 14,505 feet above sea level in the Sierra Nevada mountain range.","<s> Whit ney , ĠCalifornia 's Ġhighest Ġpeak , Ġstands Ġat Ġ14 , 505 Ġfeet Ġabove Ġsea Ġlevel Ġin Ġthe ĠSierra ĠNevada Ġmountain Ġrange . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O </s>
The mountain Wilhelm is located in the Sierra Nevada range of California.,<s> The Ġmountain ĠWilhelm Ġis Ġlocated Ġin Ġthe ĠSierra ĠNevada Ġrange Ġof ĠCalifornia . </s>,<s> O O O O O O O O O O O O O </s>
Mount Fuji towers above Tokyo's cityscape with its iconic symmetrical shape and snow-capped peak.,<s> Mount ĠFuji Ġtowers Ġabove ĠTokyo 's Ġcity scape Ġwith Ġits Ġiconic Ġsymm etrical Ġshape Ġand Ġsnow - c apped Ġpeak . </s>,<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
"Mount Hood, located in Oregon, is an active stratovolcano and popular destination for outdoor recreation.","<s> Mount ĠHood , Ġlocated Ġin ĠOregon , Ġis Ġan Ġactive Ġstrat ov ol cano Ġand Ġpopular Ġdestination Ġfor Ġoutdoor Ġrecreation . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
Aconcagua is the highest peak in both the Andes and South America.,<s> A con c ag ua Ġis Ġthe Ġhighest Ġpeak Ġin Ġboth Ġthe ĠAnd es Ġand ĠSouth ĠAmerica . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
"The Appalachian Mountains stretch through 14 states in the eastern United States, including West Virginia's iconic Mount Rogers, which is part of the larger range known as the Cumberland Gap and home to the rugged Appalachian Trail passing through the Adams County.","<s> The ĠAppalachian ĠMountains Ġstretch Ġthrough Ġ14 Ġstates Ġin Ġthe Ġeastern ĠUnited ĠStates , Ġincluding ĠWest ĠVirginia 's Ġiconic ĠMount ĠRogers , Ġwhich Ġis Ġpart Ġof Ġthe Ġlarger Ġrange Ġknown Ġas Ġthe ĠCumber land ĠGap Ġand Ġhome Ġto Ġthe Ġrugged ĠAppalachian ĠTrail Ġpassing Ġthrough Ġthe ĠAdams ĠCounty . </s>",<s> O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOCATION O O </s>
Ama Dablam is one of Nepal's five highest peaks and a popular destination for mountaineers and trekkers in the Himalayan Mountains.,<s> A ma ĠD ab lam Ġis Ġone Ġof ĠNepal 's Ġfive Ġhighest Ġpeaks Ġand Ġa Ġpopular Ġdestination Ġfor Ġmount aine ers Ġand Ġtrek kers Ġin Ġthe ĠHimal ayan ĠMountains . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Annapurna, the world's tenth-highest peak, towers over the Himalayan mountain range in Nepal.","<s> Ann ap urn a , Ġthe Ġworld 's Ġtenth - highest Ġpeak , Ġtowers Ġover Ġthe ĠHimal ayan Ġmountain Ġrange Ġin ĠNepal . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O </s>
"The highest peak in the Pyrenees, Aneto, rises to an elevation of 3,404 meters above the Spanish-Andorian border.","<s> The Ġhighest Ġpeak Ġin Ġthe ĠPy rene es , ĠAn eto , Ġrises Ġto Ġan Ġelevation Ġof Ġ3 , 404 Ġmeters Ġabove Ġthe ĠSpanish - And orian Ġborder . </s>",<s> O O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
The mountain Baker was known for his delectable pastries and warm hospitality in the small town at his base.,<s> The Ġmountain ĠBaker Ġwas Ġknown Ġfor Ġhis Ġde lect able Ġpast ries Ġand Ġwarm Ġhospitality Ġin Ġthe Ġsmall Ġtown Ġat Ġhis Ġbase . </s>,<s> O O O O O O O O O O O O O O O O O O O O O O O </s>
"The mountain of Brebeneskul rises over 2,400 meters above sea level in Ukraine's Carpathian Mountains.","<s> The Ġmountain Ġof ĠBre ben es k ul Ġrises Ġover Ġ2 , 400 Ġmeters Ġabove Ġsea Ġlevel Ġin ĠUkraine 's ĠCar path ian ĠMountains . </s>",<s> O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O </s>
"Broad Peak is a prominent 8,051-meter peak located in the Karakoram range of Pakistan's Gilgit-Baltistan region.","<s> Broad ĠPeak Ġis Ġa Ġprominent Ġ8 , 05 1 - meter Ġpeak Ġlocated Ġin Ġthe ĠKar ak or am Ġrange Ġof ĠPakistan 's ĠGil git - Balt istan Ġregion . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
"Carstensz Mountain in Indonesia is often referred to as the ""Mount Halmahera"" of the island of New Guinea.","<s> Car st ens z ĠMountain Ġin ĠIndonesia Ġis Ġoften Ġreferred Ġto Ġas Ġthe Ġ"" Mount ĠHal ma her a "" Ġof Ġthe Ġisland Ġof ĠNew ĠGuinea . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O </s>
"Chimborazo, located in Ecuador, is the highest point on Earth that is visible from its base.","<s> Ch im bor azo , Ġlocated Ġin ĠEcuador , Ġis Ġthe Ġhighest Ġpoint Ġon ĠEarth Ġthat Ġis Ġvisible Ġfrom Ġits Ġbase . </s>",<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
Cho Oyu is the sixth-highest mountain in the world and the highest point on Earth accessible without supplemental oxygen.,<s> Cho ĠO yu Ġis Ġthe Ġsixth - highest Ġmountain Ġin Ġthe Ġworld Ġand Ġthe Ġhighest Ġpoint Ġon ĠEarth Ġaccessible Ġwithout Ġsupplemental Ġoxygen . </s>,<s> B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O </s>
"The summit of Chulu West, located in the Annapurna range of the Himalayas, was first climbed by an international team in 1997.","<s> The Ġsummit Ġof ĠCh ulu ĠWest , Ġlocated Ġin Ġthe ĠAnn ap urn a Ġrange Ġof Ġthe ĠHimal ay as , Ġwas Ġfirst Ġclimbed Ġby Ġan Ġinternational Ġteam Ġin Ġ1997 . </s>",<s> O O O B-LOCATION I-LOCATION I-LOCATION O O O O B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O </s>
Citlaltepetl is an extinct volcano in Mexico's State of Puebla.,<s> C it l alt ep et l Ġis Ġan Ġextinct Ġvolcano Ġin ĠMexico 's ĠState Ġof ĠP uebl a . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
"Denali, the highest peak in North America, towers over the Alaskan landscape with its snow-capped summit and glaciers.","<s> Den ali , Ġthe Ġhighest Ġpeak Ġin ĠNorth ĠAmerica , Ġtowers Ġover Ġthe ĠAl ask an Ġlandscape Ġwith Ġits Ġsnow - c apped Ġsummit Ġand Ġglaciers . </s>",<s> B-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O </s>
Dhaulagiri is the world's fifth-highest peak and part of the Himalayas in Nepal.,<s> D haul ag iri Ġis Ġthe Ġworld 's Ġfifth - highest Ġpeak Ġand Ġpart Ġof Ġthe ĠHimal ay as Ġin ĠNepal . </s>,<s> B-LOCATION I-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O </s>
The hikers had to turn back at the base of Mount Disappointment due to treacherous terrain.,<s> The Ġhikers Ġhad Ġto Ġturn Ġback Ġat Ġthe Ġbase Ġof ĠMount ĠDisapp ointment Ġdue Ġto Ġtreacherous Ġterrain . </s>,<s> O O O O O O O O O O B-LOCATION I-LOCATION I-LOCATION O O O O O </s>
"Mount Elbrus, located on the border between Russia and Georgia, is the highest peak in both countries with an elevation of approximately 5,642 meters above sea level.","<s> Mount ĠEl br us , Ġlocated Ġon Ġthe Ġborder Ġbetween ĠRussia Ġand ĠGeorgia , Ġis Ġthe Ġhighest Ġpeak Ġin Ġboth Ġcountries Ġwith Ġan Ġelevation Ġof Ġapproximately Ġ5 , 642 Ġmeters Ġabove Ġsea Ġlevel . </s>",<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O </s>
Mount Erebus is located in Antarctica and is the southernmost volcano on Earth.,<s> Mount ĠE re bus Ġis Ġlocated Ġin ĠAntarctica Ġand Ġis Ġthe Ġsouthern most Ġvolcano Ġon ĠEarth . </s>,<s> O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O O O O O </s>
The Italian volcano Mount Etna is Europe's highest and most active volcano.,<s> The ĠItalian Ġvolcano ĠMount ĠEt na Ġis ĠEurope 's Ġhighest Ġand Ġmost Ġactive Ġvolcano . </s>,<s> O O O B-LOCATION I-LOCATION I-LOCATION O O O O O O O O O </s>
Mountaineers from around the world attempt to climb Mount Everest each year in search of the ultimate adventure and breathtaking views.,<s> Mount aine ers Ġfrom Ġaround Ġthe Ġworld Ġattempt Ġto Ġclimb ĠMount ĠEverest Ġeach Ġyear Ġin Ġsearch Ġof Ġthe Ġultimate Ġadventure Ġand Ġbreathtaking Ġviews . </s>,<s> O O O O O O O O O O B-LOCATION I-LOCATION O O O O O O O O O O O O </s>
